director_name,avg_score
"Les Mayfield",5.833333333333333
"Jon Amiel",5.800000000000001
"Ivan Reitman",5.800000000000001
"Catherine Hardwicke",5.800000000000001
"Darren Aronofsky",5.8
"Michel Gondry",5.8
"Ron Shelton",5.8
"Mikael Salomon",5.8
"John Frankenheimer",5.8
"Kent Alterman",5.8
"John Stockwell",5.8
"Stephen Frears",5.8
"Billy Bob Thornton",5.8
"Paul Weiland",5.8
"Kelly Makin",5.8
"Jean-Marie Poir̩",5.8
"John Moore",5.799999999999999
"Lee Tamahori",5.766666666666667
"Marc Lawrence",5.766666666666667
"Tim Story",5.75
"Sergey Bodrov",5.75
"Wayne Wang",5.75
"Renny Harlin",5.744444444444444
"Garry Marshall",5.725
"Paul Weitz",5.7
"Antony Hoffman",5.7
"Ryan Murphy",5.7
"Harold Ramis",5.7
"Scott Stewart",5.7
"Peter MacDonald",5.7
"Akiva Schaffer",5.7
"Jeff Nathanson",5.7
"Jonathan Lynn",5.7
"Kirk Jones",5.7
"Mathieu Kassovitz",5.699999999999999
"Donald Petrie",5.675
"Mike Mitchell",5.666666666666667
"Simon Wells",5.65
"Thor Freudenthal",5.65
"Michael Lehmann",5.65
"George P. Cosmatos",5.65
"Steven Brill",5.6000000000000005
